Network Category,Time Step,Robot ID,X,Y,Degree,SD Est
12-Chain,1,0,-12.5,0,2,2
12-Chain,1,1,-112.5,0,2,2
12-Chain,1,2,-62.5,0,2,2
12-Chain,1,3,-162.5,0,2,2
12-Chain,1,4,-262.5,0,1,1
12-Chain,1,5,-212.5,0,2,1.75
12-Chain,1,6,12.5,0,2,2
12-Chain,1,7,62.5,0,2,2
12-Chain,1,8,112.5,0,2,2
12-Chain,1,9,162.5,0,2,2
12-Chain,1,10,212.5,0,2,1.75
12-Chain,1,11,262.5,0,1,1
12-Star,1,0,0,0,5,3.5600002
12-Star,1,1,51.961525,30,3,3.222222
12-Star,1,2,0,60,4,3.4375
12-Star,1,3,-51.961525,30,3,3.222222
12-Star,1,4,-30,-51.961525,3,3
12-Star,1,5,30,-51.961525,3,3
12-Star,1,6,103.92305,60,1,1
12-Star,1,7,0,120,2,2.25
12-Star,1,8,-103.92305,60,1,1
12-Star,1,9,-60,-103.92305,1,1
12-Star,1,10,60,-103.92305,1,1
12-Star,1,11,0,180,1,1
12-Ring,1,0,0,100,2,2
12-Ring,1,1,43.30127,75,2,2
12-Ring,1,2,86.60254,50,2,2
12-Ring,1,3,100,0,2,2
12-Ring,1,4,86.60254,-50,2,2
12-Ring,1,5,43.30127,-75,2,2
12-Ring,1,6,0,-100,2,2
12-Ring,1,7,-43.30127,-75,2,2
12-Ring,1,8,-86.60254,-50,2,2
12-Ring,1,9,-100,0,2,2
12-Ring,1,10,-86.60254,50,2,2
12-Ring,1,11,-43.30127,75,2,2
12-Ring n+4,1,0,0,68,4,4
12-Ring n+4,1,1,29.444862,51,4,4
12-Ring n+4,1,2,58.889725,34,4,4
12-Ring n+4,1,3,68,0,4,4
12-Ring n+4,1,4,58.889725,-34,4,4
12-Ring n+4,1,5,29.444862,-51,4,4
12-Ring n+4,1,6,0,-68,4,4
12-Ring n+4,1,7,-29.444862,-51,4,4
12-Ring n+4,1,8,-58.889725,-34,4,4
12-Ring n+4,1,9,-68,0,4,4
12-Ring n+4,1,10,-58.889725,35,4,4
12-Ring n+4,1,11,-29.444862,52.5,4,4
12-Ring n+6,1,0,0,48,6,6
12-Ring n+6,1,1,20.784609,36,6,6
12-Ring n+6,1,2,41.569218,24,6,6
12-Ring n+6,1,3,48,0,6,6
12-Ring n+6,1,4,41.569218,-24,6,6
12-Ring n+6,1,5,20.784609,-36,6,6
12-Ring n+6,1,6,0,-48,6,6
12-Ring n+6,1,7,-20.784609,-36,6,6
12-Ring n+6,1,8,-41.569218,-24,6,6
12-Ring n+6,1,9,-48,0,6,6
12-Ring n+6,1,10,-41.569218,24,6,6
12-Ring n+6,1,11,-20.784609,36,6,6
12-Torus Typology,1,0,-50,0,3,2.5555553
12-Torus Typology,1,1,50,0,3,2.5555553
12-Torus Typology,1,2,25,-42.5,3,2.5555553
12-Torus Typology,1,3,-25,-42.5,3,2.5555553
12-Torus Typology,1,4,25,42.5,3,2.5555553
12-Torus Typology,1,5,-25,42.5,3,2.5555553
12-Torus Typology,1,6,-100,0,1,1
12-Torus Typology,1,7,100,0,1,1
12-Torus Typology,1,8,50,86.60254,1,1
12-Torus Typology,1,9,50,-86.60254,1,1
12-Torus Typology,1,10,-50,86.60254,1,1
12-Torus Typology,1,11,-50,-86.60254,1,1
12-Matrix,1,0,0,0,2,2.5
12-Matrix,1,1,50,0,3,3
12-Matrix,1,2,100,0,3,3
12-Matrix,1,3,150,0,2,2.5
12-Matrix,1,4,0,50,3,2.7777777
12-Matrix,1,5,50,50,4,3.4375
12-Matrix,1,6,100,50,4,3.4375
12-Matrix,1,7,150,50,3,2.7777777
12-Matrix,1,8,0,100,2,2.5
12-Matrix,1,9,50,100,3,3
12-Matrix,1,10,100,100,3,3
12-Matrix,1,11,150,100,2,2.5
12-Fully connection,1,0,0,12.5,11,11
12-Fully connection,1,1,15,25,11,11
12-Fully connection,1,2,30,15,11,11
12-Fully connection,1,3,17.5,0,11,11
12-Fully connection,1,4,30,-15,11,11
12-Fully connection,1,5,15,-25,11,11
12-Fully connection,1,6,0,-12.5,11,11
12-Fully connection,1,7,-15,-25,11,11
12-Fully connection,1,8,-30,-15,11,11
12-Fully connection,1,9,-17.5,0,11,11
12-Fully connection,1,10,-30,15,11,11
12-Fully connection,1,11,-15,25,11,11
